city,county,state,stateabbv
Añasco,Añasco County,Puerto Rico,PR
Añasco Zona Urbana,Añasco County,Puerto Rico,PR
Aaronsburg,Centre County,Pennsylvania,PA
Abanda,Chambers County,Alabama,AL
Abbeville,Vermilion County,Louisiana,LA
Abbeville,Henry County,Alabama,AL
Abbeville,Wilcox County,Georgia,GA
Abbeville,Lafayette County,Mississippi,MS
Abbeville,Abbeville County,South Carolina,SC
Abbotsford,Clark County,Wisconsin,WI
Abbott,Craig County,Virginia,VA
Abbott,Upshur County,West Virginia,WV
Abbott,Colfax County,New Mexico,NM
Abbott,Hill County,Texas,TX
Abbott,Scott County,Arkansas,AR
Abbottsburg,Bladen County,North Carolina,NC
Abbottstown,Adams County,Pennsylvania,PA
Abbyville,Reno County,Kansas,KS
Abell,Carson County,Texas,TX
Abercrombie,Richland County,North Dakota,ND
Aberdeen,Grays Harbor County,Washington,WA
Aberdeen,Moore County,North Carolina,NC
Aberdeen,Porter County,Indiana,IN
Aberdeen,Bingham County,Idaho,ID
Aberdeen,Harford County,Maryland,MD
Aberdeen,Brown County,Ohio,OH
Aberdeen,Monroe County,Mississippi,MS
Aberdeen,Butler County,Kentucky,KY
Aberdeen,Brown County,South Dakota,SD
Aberdeen Gardens,Grays Harbor County,Washington,WA
Aberfoil,Bullock County,Alabama,AL
Abernant,Tuscaloosa County,Alabama,AL
Abernathy,Lubbock County,Texas,TX
Abeytas,Socorro County,New Mexico,NM
Abie,Butler County,Nebraska,NE
Abilene,Taylor County,Texas,TX
Abilene,Dickinson County,Kansas,KS
Abingdon,Washington County,Virginia,VA
Abingdon,Knox County,Illinois,IL
Abingdon,Jefferson County,Iowa,IA
Abingdon,Harford County,Maryland,MD
Abington,Montgomery County,Pennsylvania,PA
Abington,Plymouth County,Massachusetts,MA
Abiquiu,Rio Arriba County,New Mexico,NM
Abita Springs,St. Tammany County,Louisiana,LA
Abo,Torrance County,New Mexico,NM
Aboite,Allen County,Indiana,IN
Abraham,Millard County,Utah,UT
Abram,Hidalgo County,Texas,TX
Abrams,Oconto County,Wisconsin,WI
Absarokee,Stillwater County,Montana,MT
Absecon,Atlantic County,New Jersey,NJ
Academy,Charles Mix County,South Dakota,SD
Acampo,San Joaquin County,California,CA
Accident,Garrett County,Maryland,MD
Accokeek,Prince George's County,Maryland,MD
Accomac,Accomack County,Virginia,VA
Accord,Ulster County,New York,NY
Accord,Plymouth County,Massachusetts,MA
Accoville,Logan County,West Virginia,WV
Ace,Polk County,Texas,TX
Aceitunas,Moca County,Puerto Rico,PR
Aceitunas Comunidad,Moca County,Puerto Rico,PR
Acequia,Minidoka County,Idaho,ID
Achille,Bryan County,Oklahoma,OK
Achilles,Gloucester County,Virginia,VA
Ackerly,Dawson County,Texas,TX
Ackerman,Choctaw County,Mississippi,MS
Ackermanville,Northampton County,Pennsylvania,PA
Ackley,Hardin County,Iowa,IA
Ackworth,Warren County,Iowa,IA
Acme,Whatcom County,Washington,WA
Acme,Sheridan County,Wyoming,WY
Acme,Chaves County,New Mexico,NM
Acme,Concordia County,Louisiana,LA
Acoma,Lincoln County,Nevada,NV
Acomita,Cibola County,New Mexico,NM
Acomita Lake,Cibola County,New Mexico,NM
Acorn,Westmoreland County,Virginia,VA
Acra,Greene County,New York,NY
Acree,Dougherty County,Georgia,GA
Acres Green,Douglas County,Colorado,CO
Acton,Los Angeles County,California,CA
Acton,Yellowstone County,Montana,MT
Acworth,Cobb County,Georgia,GA
Acy,Ascension County,Louisiana,LA
Ada,Sheboygan County,Wisconsin,WI
Ada,Bienville County,Louisiana,LA
Ada,Pontotoc County,Oklahoma,OK
Ada,Hardin County,Ohio,OH
Ada,Norman County,Minnesota,MN
Ada,Ottawa County,Kansas,KS
Adair,McDonough County,Illinois,IL
Adair,Guthrie County,Iowa,IA
Adair,Mayes County,Oklahoma,OK
Adair Village,Benton County,Oregon,OR
Adairsville,Bartow County,Georgia,GA
Adairville,Logan County,Kentucky,KY
Adak,Aleutians West County,Alaska,AK
Adams,Adams County,Wisconsin,WI
Adams,Walsh County,North Dakota,ND
Adams,Gage County,Nebraska,NE
Adams,Robertson County,Tennessee,TN
Adams,Jefferson County,New York,NY
Adams,Decatur County,Indiana,IN
Adams,Texas County,Oklahoma,OK
Adams,Berkshire County,Massachusetts,MA
Adams,Mower County,Minnesota,MN
Adams,Hinds County,Mississippi,MS
Adams,Lawrence County,Kentucky,KY
Adams,Umatilla County,Oregon,OR
Adams Center,Jefferson County,New York,NY
Adams City,Adams County,Colorado,CO
Adamsburg,Westmoreland County,Pennsylvania,PA
Adamstown,Lancaster County,Pennsylvania,PA
Adamstown,Frederick County,Maryland,MD
Adamsville,Lampasas County,Texas,TX
Adamsville,McNairy County,Tennessee,TN
Adamsville,Crawford County,Pennsylvania,PA
Adamsville,Jefferson County,Alabama,AL
Adamsville,Muskingum County,Ohio,OH
Adamsville,Beaver County,Utah,UT
Adario,Richland County,Ohio,OH
Addicks,Harris County,Texas,TX
Addie,Jackson County,North Carolina,NC
Addieville,Washington County,Illinois,IL
Addington,Jefferson County,Oklahoma,OK
Addis,West Baton Rouge County,Louisiana,LA
Addison,Dallas County,Texas,TX
Addison,Steuben County,New York,NY
Addison,Somerset County,Pennsylvania,PA
Addison,Winston County,Alabama,AL
Addison,DuPage County,Illinois,IL
Addison,Washington County,Maine,ME
Addison,Gallia County,Ohio,OH
Addison,Lenawee County,Michigan,MI
Addy,Stevens County,Washington,WA
Addyston,Hamilton County,Ohio,OH
Adel,Cook County,Georgia,GA
Adel,Dallas County,Iowa,IA
Adel,Cascade County,Montana,MT
Adel,Lake County,Oregon,OR
Adelaide,King County,Washington,WA
Adelanto,San Bernardino County,California,CA
Adeline,Ogle County,Illinois,IL
Adelino,Valencia County,New Mexico,NM
Adell,Sheboygan County,Wisconsin,WI
Adelphi,Prince George's County,Maryland,MD
Adelphi,Ross County,Ohio,OH
Adelphia,Monmouth County,New Jersey,NJ
Aden,Doña Ana County,New Mexico,NM
Adena,Jefferson County,Ohio,OH
Adgateville,Jasper County,Georgia,GA
Adin,Modoc County,California,CA
Adjuntas,Adjuntas County,Puerto Rico,PR
Adjuntas Zona Urbana,Adjuntas County,Puerto Rico,PR
Admire,Lyon County,Kansas,KS
Adna,Lewis County,Washington,WA
Adolphus,Allen County,Kentucky,KY
Adona,Perry County,Arkansas,AR
Adrian,Oldham County,Texas,TX
Adrian,Emanuel County,Georgia,GA
Adrian,Bates County,Missouri,MO
Adrian,Nobles County,Minnesota,MN
Adrian,Lenawee County,Michigan,MI
Adrian,Malheur County,Oregon,OR
Advance,Davie County,North Carolina,NC
Advance,Boone County,Indiana,IN
Advance,Stoddard County,Missouri,MO
Advance,Charlevoix County,Michigan,MI
Adwolf,Smyth County,Virginia,VA
Ady,Potter County,Texas,TX
Ady,Harford County,Maryland,MD
Aeneas,Okanogan County,Washington,WA
Aetna,Barber County,Kansas,KS
Affton,St. Louis County,Missouri,MO
Afton,Lincoln County,Wyoming,WY
Afton,Doña Ana County,New Mexico,NM
Afton,Chenango County,New York,NY
Afton,San Bernardino County,California,CA
Afton,Union County,Iowa,IA
Afton,Ottawa County,Oklahoma,OK
Afton,Washington County,Minnesota,MN
Agar,Sully County,South Dakota,SD
Agate,Elbert County,Colorado,CO
Agate Beach,Lincoln County,Oregon,OR
Agawam,Grady County,Oklahoma,OK
Agawam,Hampden County,Massachusetts,MA
Agawam,Teton County,Montana,MT
Agency,Wapello County,Iowa,IA
Agency,Buchanan County,Missouri,MO
Agenda,Republic County,Kansas,KS
Ages,Harlan County,Kentucky,KY
Agnes,Parker County,Texas,TX
Agness,Curry County,Oregon,OR
Agnew,Lancaster County,Nebraska,NE
Agnos,Fulton County,Arkansas,AR
Agoura,Los Angeles County,California,CA
Agoura Hills,Los Angeles County,California,CA
Agra,Lincoln County,Oklahoma,OK
Agra,Phillips County,Kansas,KS
Agricola,Coffey County,Kansas,KS
Agricola,George County,Mississippi,MS
Agua Dulce,Nueces County,Texas,TX
Agua Dulce,Los Angeles County,California,CA
Agua Fria,Santa Fe County,New Mexico,NM
Agua Nueva,Jim Hogg County,Texas,TX
Aguada,Aguada County,Puerto Rico,PR
Aguada Zona Urbana,Aguada County,Puerto Rico,PR
Aguadilla,Aguadilla County,Puerto Rico,PR
Aguadilla Zona Urbana,Aguadilla County,Puerto Rico,PR
Aguanga,Riverside County,California,CA
Aguas Buenas,Aguas Buenas County,Puerto Rico,PR
Aguas Buenas Zona Urbana,Aguas Buenas County,Puerto Rico,PR
Aguas Claras,Ceiba County,Puerto Rico,PR
Aguas Claras Comunidad,Ceiba County,Puerto Rico,PR
Agudo,De Baca County,New Mexico,NM
Aguila,Maricopa County,Arizona,AZ
Aguilar,Las Animas County,Colorado,CO
Aguilares,Webb County,Texas,TX
Aguilita,Juana Díaz County,Puerto Rico,PR
Aguilita Comunidad,Juana Díaz County,Puerto Rico,PR
Ahloso,Pontotoc County,Oklahoma,OK
Ahmeek,Keweenaw County,Michigan,MI
Ahoskie,Hertford County,North Carolina,NC
Ahtanum,Yakima County,Washington,WA
Ahwahnee,Madera County,California,CA
Aibonito,Aibonito County,Puerto Rico,PR
Aibonito Zona Urbana,Aibonito County,Puerto Rico,PR
Aid,Lawrence County,Ohio,OH
Aiken,Floyd County,Texas,TX
