zip,state_abbv,county,city,cz,moisture_regime_name,moisture_regime
501,NY,Suffolk County,Holtsville,4,moist,
1001,MA,Hampden County,Agawam,5,moist,
1002,MA,Hampshire County,Amherst,5,moist,
1003,MA,Hampshire County,Amherst,5,moist,
1004,MA,Hampshire County,Amherst,5,moist,
1005,MA,Worcester County,Barre,5,moist,
1007,MA,Hampshire County,Belchertown,5,moist,
1008,MA,Hampden County,Blandford,5,moist,
1009,MA,Hampden County,Bondsville,5,moist,
1010,MA,Hampden County,Brimfield,5,moist,
1011,MA,Hampden County,Chester,5,moist,
1012,MA,Hampshire County,Chesterfield,5,moist,
1013,MA,Hampden County,Chicopee,5,moist,
1014,MA,Hampden County,Chicopee,5,moist,
1020,MA,Hampden County,Chicopee,5,moist,
1021,MA,Hampden County,Chicopee,5,moist,
1022,MA,Hampden County,Chicopee,5,moist,
1026,MA,Hampshire County,Cummington,5,moist,
1027,MA,Hampshire County,Easthampton,5,moist,
1028,MA,Hampden County,East Longmeadow,5,moist,
1029,MA,Berkshire County,East Otis,5,moist,
1030,MA,Hampden County,Feeding Hills,5,moist,
1031,MA,Worcester County,Gilbertville,5,moist,
1032,MA,Hampshire County,Goshen,5,moist,
1033,MA,Hampshire County,Granby,5,moist,
1034,MA,Hampden County,Granville,5,moist,
1035,MA,Hampshire County,Hadley,5,moist,
1036,MA,Hampden County,Hampden,5,moist,
1037,MA,Worcester County,Hardwick,5,moist,
1038,MA,Hampshire County,Hatfield,5,moist,
1039,MA,Hampshire County,Haydenville,5,moist,
1040,MA,Hampden County,Holyoke,5,moist,
1041,MA,Hampden County,Holyoke,5,moist,
1050,MA,Hampshire County,Huntington,5,moist,
1053,MA,Hampshire County,Leeds,5,moist,
1054,MA,Franklin County,Leverett,5,moist,
1056,MA,Hampden County,Ludlow,5,moist,
1057,MA,Hampden County,Monson,5,moist,
1059,MA,Hampshire County,North Amherst,5,moist,
1060,MA,Hampshire County,Northampton,5,moist,
1061,MA,Hampshire County,Northampton,5,moist,
1062,MA,Hampshire County,Florence,5,moist,
1063,MA,Hampshire County,Northampton,5,moist,
1066,MA,Hampshire County,North Hatfield,5,moist,
1068,MA,Worcester County,Oakham,5,moist,
1069,MA,Hampden County,Palmer,5,moist,
1070,MA,Hampshire County,Plainfield,5,moist,
1071,MA,Hampden County,Russell,5,moist,
1072,MA,Franklin County,Shutesbury,5,moist,
1073,MA,Hampshire County,Southampton,5,moist,
1074,MA,Worcester County,South Barre,5,moist,
1075,MA,Hampshire County,South Hadley,5,moist,
1077,MA,Hampden County,Southwick,5,moist,
1079,MA,Hampden County,Thorndike,5,moist,
1080,MA,Hampden County,Three Rivers,5,moist,
1081,MA,Hampden County,Wales,5,moist,
1082,MA,Hampshire County,Ware,5,moist,
1083,MA,Worcester County,Warren,5,moist,
1084,MA,Hampshire County,West Chesterfield,5,moist,
1085,MA,Hampden County,Westfield,5,moist,
1086,MA,Hampden County,Westfield,5,moist,
1088,MA,Hampshire County,West Hatfield,5,moist,
1089,MA,Hampden County,West Springfield,5,moist,
1090,MA,Hampden County,West Springfield,5,moist,
1092,MA,Worcester County,West Warren,5,moist,
1093,MA,Franklin County,Whately,5,moist,
1094,MA,Worcester County,Wheelwright,5,moist,
1095,MA,Hampden County,Wilbraham,5,moist,
1096,MA,Hampshire County,Williamsburg,5,moist,
1098,MA,Hampshire County,Worthington,5,moist,
1101,MA,Hampden County,Springfield,5,moist,
1102,MA,Hampden County,Springfield,5,moist,
1103,MA,Hampden County,Springfield,5,moist,
1104,MA,Hampden County,Springfield,5,moist,
1105,MA,Hampden County,Springfield,5,moist,
1106,MA,Hampden County,Longmeadow,5,moist,
1107,MA,Hampden County,Springfield,5,moist,
1108,MA,Hampden County,Springfield,5,moist,
1109,MA,Hampden County,Springfield,5,moist,
1111,MA,Hampden County,Springfield,5,moist,
1115,MA,Hampden County,Springfield,5,moist,
1116,MA,Hampden County,Longmeadow,5,moist,
1118,MA,Hampden County,Springfield,5,moist,
1119,MA,Hampden County,Springfield,5,moist,
1128,MA,Hampden County,Springfield,5,moist,
1129,MA,Hampden County,Springfield,5,moist,
1138,MA,Hampden County,Springfield,5,moist,
1139,MA,Hampden County,Springfield,5,moist,
1144,MA,Hampden County,Springfield,5,moist,
1151,MA,Hampden County,Indian Orchard,5,moist,
1152,MA,Hampden County,Springfield,5,moist,
1199,MA,Hampden County,Springfield,5,moist,
1201,MA,Berkshire County,Pittsfield,5,moist,
1202,MA,Berkshire County,Pittsfield,5,moist,
1203,MA,Berkshire County,Pittsfield,5,moist,
1220,MA,Berkshire County,Adams,5,moist,
1222,MA,Berkshire County,Ashley Falls,5,moist,
1223,MA,Berkshire County,Becket,5,moist,
1224,MA,Berkshire County,Berkshire,5,moist,
1225,MA,Berkshire County,Cheshire,5,moist,
1226,MA,Berkshire County,Dalton,5,moist,
1227,MA,Berkshire County,Dalton,5,moist,
1229,MA,Berkshire County,Glendale,5,moist,
1230,MA,Berkshire County,Great Barrington,5,moist,
1235,MA,Berkshire County,Hinsdale,5,moist,
1236,MA,Berkshire County,Housatonic,5,moist,
1237,MA,Berkshire County,Lanesboro,5,moist,
1238,MA,Berkshire County,Lee,5,moist,
1240,MA,Berkshire County,Lenox,5,moist,
1242,MA,Berkshire County,Lenox Dale,5,moist,
1243,MA,Hampshire County,Middlefield,5,moist,
1244,MA,Berkshire County,Mill River,5,moist,
1245,MA,Berkshire County,Monterey,5,moist,
1247,MA,Berkshire County,North Adams,5,moist,
1252,MA,Berkshire County,North Egremont,5,moist,
1253,MA,Berkshire County,Otis,5,moist,
1254,MA,Berkshire County,Richmond,5,moist,
1255,MA,Berkshire County,Sandisfield,5,moist,
1256,MA,Berkshire County,Savoy,5,moist,
1257,MA,Berkshire County,Sheffield,5,moist,
1258,MA,Berkshire County,South Egremont,5,moist,
1259,MA,Berkshire County,Southfield,5,moist,
1260,MA,Berkshire County,South Lee,5,moist,
1262,MA,Berkshire County,Stockbridge,5,moist,
1264,MA,Berkshire County,Tyringham,5,moist,
1266,MA,Berkshire County,West Stockbridge,5,moist,
1267,MA,Berkshire County,Williamstown,5,moist,
