"","state","state_abbv","county","city","median_household_income"
"1","Texas","TX","Oldham County","Adrian",50239.5
"2","Texas","TX","Shackelford County","Albany",50345
"3","Texas","TX","Starr County","Rio Grande City",48958.6666666667
"4","Texas","TX","Liberty County","Liberty",29869
"5","Texas","TX","Parker County","Aledo",138240.5
"6","Texas","TX","Nueces County","Aransas Pass",29776
"7","Texas","TX","Stonewall County","Aspermont",31956
"8","Texas","TX","Red River County","Avery",23174
"9","Texas","TX","Runnels County","Ballinger",41112
"10","Texas","TX","Ward County","Pecos",32252.25
"11","Texas","TX","Chambers County","Baytown",79781.1111111111
"12","Texas","TX","Travis County","Austin",100559.7875
"13","Texas","TX","Knox County","Benjamin",35319.5
"14","Texas","TX","Liberty County","Dallardsville",36793
"15","Texas","TX","Matagorda County","Blessing",21174
"16","Texas","TX","Kendall County","Boerne",192055.25
"17","Texas","TX","Webb County","Laredo",65110.7083333333
"18","Texas","TX","Austin County","Pattison",166387.5
"19","Texas","TX","Wise County","Bridgeport",41754
"20","Texas","TX","Brown County","Brownwood",35779
"21","Texas","TX","Milam County","Buckholts",18716
"22","Texas","TX","Harris County","Houston",92485.2276785714
"23","Texas","TX","Moore County","Cactus",42025
"24","Texas","TX","Starr County","Roma",125230.307692308
"25","Texas","TX","Comal County","New Braunfels",126578.636363636
"26","Texas","TX","Denton County","Carrollton",128510.818181818
"27","Texas","TX","Travis County","Cedar Park",80614
"28","Texas","TX","Henderson County","Chandler",59625
"29","Texas","TX","Falls County","Chilton",163499
"30","Texas","TX","Bexar County","Schertz",48251
"31","Texas","TX","Gregg County","White Oak",51430
"32","Texas","TX","Brazoria County","Freeport",76895.5555555556
"33","Texas","TX","Tyler County","Colmesneil",41693.5
"34","Texas","TX","Hopkins County","Como",33635
"35","Texas","TX","Coryell County","Copperas Cove",41196
"36","Texas","TX","Navarro County","Corsicana",93943.8
"37","Texas","TX","Johnson County","Keene",50201
"38","Texas","TX","Harris County","Crosby",133047.666666667
"39","Texas","TX","DeWitt County","Cuero",36585
"40","Texas","TX","Hartley County","Dalhart",54699
"41","Texas","TX","Navarro County","Dawson",34211
"42","Texas","TX","Cameron County","Los Fresnos",29363.2
"43","Texas","TX","Dallas County","Desoto",157256.4
"44","Texas","TX","Castro County","Dimmitt",35714
"45","Texas","TX","Cass County","Maud",28279
"46","Texas","TX","Lamb County","Earth",42675.5
"47","Texas","TX","Hidalgo County","Edcouch",33865
"48","Texas","TX","Maverick County","Eagle Pass",30545.2
"49","Texas","TX","Wichita County","Electra",30280.5
"50","Texas","TX","Starr County","Rio Grande City",48958.6666666667
"51","Texas","TX","Navarro County","Corsicana",93943.8
"52","Texas","TX","Tarrant County","Euless",136701.285714286
"53","Texas","TX","Fort Bend County","Needville",61829
"54","Texas","TX","Starr County","Roma",125230.307692308
"55","Texas","TX","Hidalgo County","Edinburg",33979.25
"56","Texas","TX","Denton County","Flower Mound",178768.833333333
"57","Texas","TX","Hudspeth County","Fort Hancock",23755
"58","Texas","TX","Webb County","Laredo",65110.7083333333
"59","Texas","TX","Harris County","Friendswood",113044
"60","Texas","TX","Fort Bend County","Fulshear",170399
"61","Texas","TX","Glasscock County","Garden City",3e+05
"62","Texas","TX","Starr County","Rio Grande City",48958.6666666667
"63","Texas","TX","Upshur County","Gladewater",109548
"64","Texas","TX","McLennan County","Chilton",163499
"65","Texas","TX","Ward County","Grandfalls",36495
"66","Texas","TX","Houston County","Grapeland",25559
"67","Texas","TX","Limestone County","Groesbeck",41454.5
"68","Texas","TX","King County","Guthrie",58787
"69","Texas","TX","Jones County","Hamlin",40122.5
"70","Texas","TX","Haskell County","Haskell",37324
"71","Texas","TX","Kaufman County","Heath",0
"72","Texas","TX","Waller County","Hempstead",28597
"73","Texas","TX","Smith County","Lindale",70724
"74","Texas","TX","Frio County","Dilley",3e+05
"75","Texas","TX","Bexar County","San Antonio",76895.4444444444
"76","Texas","TX","Parker County","Brock",190184
"77","Texas","TX","Cass County","Hughes Springs",34614.5
"78","Texas","TX","Williamson County","Hutto",65639
"79","Texas","TX","Starr County","Roma",125230.307692308
"80","Texas","TX","Pecos County","Iraan",62160
"81","Texas","TX","Starr County","Roma",125230.307692308
"82","Texas","TX","Clay County","Wichita Falls",61753.8
"83","Texas","TX","Karnes County","Karnes City",32735
"84","Texas","TX","Lampasas County","Lampasas",45091.5
"85","Texas","TX","Rusk County","Kilgore",221561.333333333
"86","Texas","TX","Knox County","Knox City",44690
"87","Texas","TX","Starr County","Rio Grande City",48958.6666666667
"88","Texas","TX","Cameron County","La Feria",162811
"89","Texas","TX","Hidalgo County","Mission",28180.3333333333
