city,income_city_2015,income_city_2018
Abilene ,42507,42752
Allen ,32204,35783
Amarillo ,74766,77403
Arlington ,132835,135867
Atascocita ,24994,25094
Austin ,364893,390395
Bay ,28893,27351
Beaumont ,46133,44288
Brownsville ,52309,51334
Bryan ,30599,29701
Carrollton ,47577,49232
Cedar Park ,21212,24767
College Station ,38409,41868
Conroe ,25298,33852
Corpus Christi ,117609,116456
Dallas ,495362,521198
Denton ,45529,48769
Edinburg ,25073,28003
El Paso ,222557,227506
Flower Mound ,23575,25256
Fort Worth ,285173,308188
Frisco ,50480,63562
Garland ,75582,74489
Grand Prairie ,58919,62349
Harlingen ,21447,21504
Houston ,849974,849105
Irving ,84684,85295
Killeen ,51766,52186
Laredo ,69026,71160
League City ,35997,37234
Lewisville ,37593,38738
Longview ,30457,30554
Lubbock ,91196,97457
McAllen ,43578,43937
McKinney ,55575,63889
Mesquite ,48835,47591
Midland ,47237,47827
Mission ,23669,24385
Missouri City ,23582,24522
New Braunfels ,24211,29781
North Richland Hills ,26068,26130
Odessa ,40198,42819
Pasadena ,51820,46703
Pearland ,37073,42409
Pharr ,20839,20861
Plano ,106610,102778
Richardson ,38816,43922
Round Rock ,36819,40854
San Angelo ,37817,37432
San Antonio ,494344,509964
Sugar Land ,29712,39378
Temple ,27319,28805
The Woodlands ,40446,40491
Tyler ,38326,35597
Victoria ,24575,23878
Waco ,48448,48032
Wichita Falls ,37173,35436
George ,NA,28062
Rowlett ,NA,21477
Mansfield ,NA,22719
