county,income_county_2015,income_county_2018
Webb County,72259,75300
Wichita County,48070,46757
Williamson County,170987,185345
Angelina County,30052,29898
Bastrop County,25963,25334
Bell County,119178,123188
Bexar County,627634,644193
Bowie County,32244,35228
Brazoria County,117149,120802
Brazos County,77628,81030
Cameron County,122468,124812
Collin County,322585,344824
Comal County,45752,53182
Coryell County,23880,21491
Dallas County,905250,937438
Denton County,274338,297899
Ector County,52023,54326
Ellis County,53294,58633
El Paso County,260710,270160
Fort Bend County,222936,245410
Galveston County,116557,121976
Grayson County,47538,48963
Gregg County,45568,45513
Guadalupe County,50864,54789
Harris County,1583582,1600357
Harrison County,22227,22928
Hays County,67346,75164
Henderson County,29103,30843
Hidalgo County,225692,237323
Hunt County,31970,34132
Jefferson County,94743,90839
Johnson County,53992,59180
Kaufman County,35802,39049
Liberty County,26383,27468
Lubbock County,108485,115686
McLennan County,87308,92158
Midland County,56280,57636
Montgomery County,185869,202797
Nacogdoches County,23493,23442
Nueces County,130207,129987
Orange County,32848,30047
Parker County,42804,46238
Potter County,43715,45550
Randall County,48323,49457
Rockwall County,30229,34590
San Patricio County,22216,22202
Smith County,78380,77330
Tarrant County,685443,722473
Taylor County,48934,49811
Tom Green County,44422,43301
Travis County,446342,486548
Victoria County,32956,31918
Walker County,21295,22693
Wise County,NA,22864
