zip,income_zip_2015,income_zip_2018
1740,147446,155093
1741,166111,171625
1742,133880,141068
1745,118125,125139
1746,108869,125625
1747,95268,107550
1748,138551,166156
1749,75985,87806
1752,71790,79228
1754,88333,101324
1756,108942,132063
1757,70162,82260
1760,100922,109490
1770,155956,180769
1772,145179,147444
1773,153438,137222
1775,137551,145967
1776,165745,176570
1778,143616,174107
1801,80266,88671
1803,94518,105443
1810,129082,148125
1821,93307,103728
1824,105010,119387
1826,78133,88440
1827,118523,131250
1830,56074,62194
1832,58850,66106
1833,107683,128885
1834,95208,97109
1835,72568,75115
1840,18291,22092
1841,32928,40230
1843,43301,49443
1844,71392,74912
1845,100286,109371
1850,48979,48331
1851,50108,57029
1852,48420,54377
1854,41640,42293
1860,73986,83508
1862,103219,97234
1863,75687,88542
1864,123103,126818
1867,108282,112836
1876,90477,97853
1879,106290,109485
1880,86210,95954
1886,121591,141173
1887,100862,122813
1890,143017,159536
1901,21605,22788
1902,38045,43956
1904,84932,85309
1905,50903,60417
1906,77371,80253
1907,98475,113078
1908,65284,90741
1913,76558,80721
1915,72837,79483
1921,140268,174340
1922,87412,90489
1923,77949,84842
1929,92396,113469
1930,61505,65377
1937,-666666666,-666666666
1938,76458,90557
1940,111911,119876
1944,95243,124025
1945,102993,115511
1949,108622,102604
1950,85556,103220
1951,91304,97083
1952,69500,78355
1960,60469,68214
1966,64839,81681
1969,86820,114063
1970,60583,65495
1982,109500,133333
1983,114565,136812
1984,109250,109712
14222,52066,54841
14223,59326,63629
14224,59875,67691
14225,47693,49516
14226,61930,69746
14227,48941,54525
14228,48343,54132
14261,-666666666,-666666666
14301,21413,27317
14302,-666666666,-666666666
14303,29916,27148
14304,50072,53797
14305,32211,35712
14411,41820,50084
14414,57273,57604
14415,37708,-666666666
14416,49583,59514
14418,59236,58355
14420,52232,57320
14422,63250,68478
14423,53116,55750
14424,53490,62717
14425,63354,68330
14427,51850,55833
14428,59292,69930
14432,52565,59550
14433,51250,54542
14435,60822,68984
14437,44244,49398
14441,50625,56250
14445,48094,50259
14450,76655,83593
14454,42323,45316
14456,45279,47522
14462,52019,70000
14464,57736,56569
14466,55987,70893
14467,74970,69861
14468,65810,70090
14469,60278,61221
14470,46856,53824
14471,62791,62114
14472,85049,88262
14475,84167,49750
14476,52386,54803
14477,54290,64688
14478,91250,92981
14479,-888888888,67400
14480,38015,45678
14481,52212,59394
14482,52929,63162
14485,48333,59427
14486,59615,66708
14487,65652,72000
14489,46060,52285
14502,67330,69067
14504,53144,56279
14505,58566,63316
14506,102989,133167
14507,58580,60125
14510,46063,48272
14511,45769,53854
14512,52534,57337
14513,37594,45446
14514,63155,64112
14516,56316,61029
14517,40685,49395
14519,59159,63766
14521,45945,49420
14522,46774,53259
14525,65625,72353
14526,81596,78250
14527,46943,51875
14529,-888888888,-666666666
14530,50513,52599
14532,53177,64583
14533,60156,54342
14534,104398,116043
14536,42438,45208
14537,67344,-666666666
14539,70156,54318
3049,117708,132500
3051,86030,95992
3052,96583,100464
3053,94487,103019
3054,90708,103043
3055,65512,77405
3057,101420,113125
3060,47235,50481
3062,89271,91417
3063,73514,83108
3064,64185,68269
3070,99028,108924
3071,84461,83250
3076,90077,103940
3077,63929,76713
3079,79755,83343
3082,85000,90521
3084,72143,90476
3086,71352,76421
3087,109726,133222
3101,26580,30483
3102,48904,56082
3103,51206,55086
3104,60782,63569
3106,83836,84375
3109,76603,79051
3110,131490,131986
3215,87500,106250
3216,70565,73011
3217,45938,46534
3218,102826,56080
3220,65383,69792
3221,60551,62831
3222,51357,58141
3223,55789,67500
3224,78182,85729
3225,64938,82630
3226,62768,66750
3227,61250,81711
3229,87083,97014
3230,59048,64648
3231,-888888888,86125
3233,108646,128750
3234,70329,68910
3235,43368,50740
3237,72115,76447
3238,-888888888,30556
3240,48750,54792
3241,56181,66875
3242,67197,86696
3243,64028,78030
3244,59621,70983
3245,58158,71458
3246,50000,56865
3249,67643,80844
3251,37095,57656
3253,62583,68714
3254,73162,72429
3255,81136,93466
3256,74353,68646
3257,69038,86500
3258,76333,88409
3259,49145,55375
3260,75167,96750
3261,80522,88654
3262,48594,57083
3263,47959,51941
3264,41648,47130
3266,48438,56071
3268,65859,80114
3269,71125,84022
3273,57500,98611
3275,63947,75213
3276,59657,54203
3278,72065,75809
3279,40481,51979
3280,71667,77083
3281,86552,86944
3282,54583,65938
3284,69583,77788
3285,56058,64069
7013,80149,91963
7014,99554,93023
7016,115201,126655
7017,36826,44805
7018,37286,44869
7020,101767,107143
7021,171818,198750
7022,53846,57706
7023,111905,133452
7024,70420,78151
7026,45461,57181
7027,73924,84896
7028,169875,213138
7029,55493,65377
7030,114381,136402
7031,66484,75291
7032,60015,67284
7033,97279,98624
7034,83527,85293
7035,83063,93377
7036,62867,68531
7039,143203,163403
7040,118242,131607
7041,101235,109167
7042,81225,103345
7043,176917,191706
7044,100941,120408
7045,121694,166429
7046,163864,212426
7047,55222,61734
7050,32772,38526
7052,90429,99845
7054,82435,94665
7055,31832,36288
7057,55547,65212
7058,115865,136122
7059,143833,165030
7060,54419,58796
7062,67284,71004
7063,67212,71144
7064,80911,82361
7065,60374,74164
7066,90956,100464
7067,95395,105330
7068,101786,126250
7069,129718,153707
7070,84778,96384
7071,70344,78036
7072,70056,100792
7073,78680,78429
7074,55179,65688
7075,96988,92989
7076,111182,128750
7077,73421,77396
7078,250001,250001
7079,117220,133281
7080,86404,100573
7081,99211,114296
7082,135656,116791
7083,77749,87952
7086,75388,94544
7087,41197,45620
7088,43706,52299
7090,146519,168983
7092,133571,130345
7093,47611,54824
7094,86061,101184
7095,79202,82917
7102,25238,25351
7103,27617,29304
7104,32160,36799
7105,43645,44721
7106,34659,39562
7107,31128,31366
7108,25757,26317
7109,65524,70054
7110,85224,95259
7111,36782,41868
7112,36052,35680
7114,21102,26970
7201,41383,46160
1985,131167,138403
2019,88460,99569
2021,95045,105371
2025,113843,132204
2026,83438,96868
2030,185542,224784
2032,92500,130109
2035,88766,98374
2038,108272,115355
2043,116187,133596
2045,74391,85573
2047,31302,-666666666
2048,93019,114720
2050,82986,95168
2052,138036,155039
2053,110241,119450
2054,92042,106336
2056,141278,146607
2061,111628,151306
2062,80532,90511
2066,104337,121231
2067,124217,138650
2071,112708,109963
2072,76179,79421
2081,97753,109893
2090,135884,155887
2093,102659,113017
2108,103973,136667
2109,111313,143191
2110,128210,116932
2111,51480,40870
2113,76503,100063
2114,86240,95161
2115,31737,37340
2116,93059,105559
2118,62300,65250
2119,28885,30551
2120,30487,33727
2121,26150,30712
2122,52122,60474
2124,48350,53174
2125,48123,56318
2126,45958,52474
2127,77633,99340
2128,51097,55483
2129,87381,118226
2130,77480,90813
2131,64178,73199
2132,87983,100915
2134,44000,58068
2135,50752,72009
2136,61391,64784
2138,79540,95368
2139,78649,96771
2140,84163,100572
2141,70828,79222
2142,99934,116346
2143,73117,95556
2144,87169,107232
2145,58665,75744
2148,54883,64176
2149,50718,60264
2150,47811,53335
2151,50865,54987
2152,61919,68322
2155,76596,92407
2163,43229,49659
2169,61619,70248
2170,70248,76440
2171,71743,83479
2176,85521,103743
2180,78099,94835
2184,84776,94945
2186,116444,127448
2188,71620,83386
2189,56706,69067
2190,77843,87143
2191,65413,74801
2199,89861,91125
2203,-666666666,-666666666
2210,132969,163068
14541,56745,58382
14542,-888888888,-666666666
14543,81689,90057
14544,56580,56441
14545,56667,49688
14546,56974,67569
14548,55170,62557
14549,31944,50556
14550,54375,45917
14551,47561,49010
14555,49750,46389
14559,74260,80735
14560,54875,58750
14561,64535,65000
14564,86336,96798
14568,74938,84750
14569,46250,57585
14571,46900,55781
14572,41784,50950
14580,71899,80596
14585,42188,51250
