city,population_city_2015,population_city_2018
Abbott,372,376
Abernathy,2748,2686
Abilene,122315,123403
Abram CDP,2305,2449
Ackerly,224,228
Addison,15075,16501
Adrian,164,157
Agua Dulce CDP (El Paso),3304,3399
Agua Dulce (Nueces),835,833
Aguilares CDP,23,27
Airport Heights CDP,174,181
Airport Road Addition CDP,92,93
Alamo,19752,20081
Alamo Heights,7777,8318
Alba,523,554
Albany,2066,1973
Aldine CDP,17292,17857
Aledo,3194,4105
Alfred CDP,84,84
Alice,18706,18862
Alice Acres CDP,491,476
Allen,100412,103494
Alma,354,400
Alpine,5941,5965
Alto,1277,1282
Alto Bonito Heights CDP,361,372
Alton,15127,16822
Alvarado,4095,4574
Alvin,26954,28179
Alvord,1426,1605
Amada Acres CDP,91,81
Amargosa CDP,300,324
Amarillo,201322,203245
Amaya CDP,95,89
Ames,1075,1168
Amherst,669,643
Amistad CDP,46,43
Anacua CDP,11,10
Anahuac,2289,2508
Anderson,232,240
Andrews,13832,14653
Angleton,19964,20571
Angus,438,458
Anna,10950,14542
Annetta,1699,3067
Annetta North,574,565
Annetta South,577,590
Annona,300,290
Anson,2391,2330
Anthony,5518,5677
Anton,1133,1105
Appleby,483,495
Aquilla,101,114
Aransas Pass,8565,8763
Archer City,1813,1929
Arcola,2006,2300
Argyle,4022,4220
Arlington,387148,391409
Arp,987,1029
Arroyo Colorado Estates CDP,1097,1136
Arroyo Gardens CDP,509,536
Asherton,1146,1039
Aspermont,857,867
Atascocita CDP,75877,78094
Athens,13121,13571
Atlanta,5762,5683
Aubrey,3593,3733
Aurora,1331,1576
Austin,921781,974581
Austwell,151,145
Avery,448,444
Avinger,449,444
Azle,11962,13781
Bacliff CDP,9722,10096
Bailey,291,304
Bailey's Prairie,753,798
Baird,1512,1534
Balch Springs,25318,25254
Balcones Heights,3271,3401
Ballinger,3735,3421
Balmorhea,520,566
B and E CDP,559,561
Bandera,859,956
Bangs,1579,1588
Banquete CDP,768,787
Bardwell,688,723
Barrera CDP,120,109
Barrett CDP,3416,3486
Barry,257,262
Barstow,366,377
Bartlett,2799,2613
Barton Creek CDP,3439,3265
Bartonville,1705,1773
Bastrop,8278,9211
Batesville CDP,1079,1061
Bay City,17604,17444
Bayou Vista,1503,1648
Bayside,332,295
Baytown,78971,81859
Bayview,403,408
Beach City,2561,2736
Bear Creek,417,455
Beasley,778,784
Beaumont,118083,119780
Beckville,858,933
Bedford,49160,50237
Bedias,450,485
Bee Cave,6117,6957
Beeville,13250,13444
Bellaire,18584,18425
Bellevue,351,350
Bellmead,10650,10771
Bells,1441,1552
Bellville,4432,4523
Belton,20186,22281
Benavides,1319,1241
Benbrook,23480,23473
Benjamin,259,238
Benjamin Perez CDP,33,33
Berryville,1035,1058
Bertram,1433,1617
Beverly Hills,2053,1994
Bevil Oaks,1226,1233
Bigfoot CDP,525,571
Big Lake,3667,3591
Big Sandy,1365,1384
Big Spring,29008,28156
Big Thicket Lake Estates CDP,795,851
Big Wells,767,679
Bishop,3186,3134
Bishop Hills,182,176
Bixby CDP,574,608
Blackwell,304,298
Blanco,1902,2052
Blanket,391,392
Blessing CDP,975,992
Bloomburg,412,418
Blooming Grove,837,853
Bloomington CDP,2593,2522
Blossom,1569,1568
Blue Berry Hill CDP,876,879
Blue Mound,2488,2458
Blue Ridge,926,947
Bluetown CDP,357,365
Blum,442,472
Boerne,13515,16892
Bogata,1104,1080
Boling CDP,1133,1132
Bolivar Peninsula CDP,2742,2783
Bonanza Hills CDP,40,42
Bonham,10225,10672
Bonney,321,354
Booker,1620,1528
Borger,12755,12437
Botines CDP,122,123
Bovina,1748,1807
Bowie,5143,5137
Box Canyon CDP,21,27
Boyd,1349,1467
Boys Ranch CDP,297,285
Brackettville,1734,1785
Brady,5577,5618
Brazoria,3104,3467
Stockton Bend City,321,325
Brazos Country,512,494
Breckenridge,5446,5807
Bremond,954,991
Brenham,16752,17752
Briar CDP,6034,6342
Briarcliff,1536,1781
Briaroaks,490,505
Bridge City,7909,7900
Bridgeport,6479,7092
Bristol CDP,689,773
Broaddus,194,205
Bronte,951,999
Brookshire,5260,5685
Brookside Village,1637,1662
Browndell,194,204
Brownfield,9548,9484
Brownsboro,1104,1259
Brownsville,184568,185625
Brownwood,19803,19898
Bruceville-Eddy,1897,1865
Brundage CDP,26,20
Bruni CDP,405,381
Brushy Creek CDP,24221,26327
Bryan,83301,85224
Bryson,558,579
Buchanan Dam CDP,1527,1541
Buchanan Lake Village CDP,700,746
Buckholts,514,544
Buda,14644,18323
Buena Vista CDP,111,118
Buffalo,1907,1896
Buffalo Gap,472,498
Buffalo Springs,482,495
Bullard,2774,4101
Bulverde,5303,5783
Buna CDP,2068,2141
Bunker Hill Village,3952,3944
Burkburnett,11046,11223
Burke,745,764
Burleson,42328,46584
Burnet,6380,6881
Burton,312,301
Butterfield CDP,131,135
Byers,492,477
Bynum,196,205
Cactus,3257,3143
Caddo Mills,1471,1706
Caldwell,4379,4538
Callender Lake CDP,1271,1275
Callisburg,352,382
Calvert,1172,1142
Camargito CDP,415,412
Cameron,5395,5629
Cameron Park CDP,7397,7532
Campbell,668,666
Campo Verde CDP,141,155
Camp Swift CDP,7151,7681
Camp Wood,717,763
Canadian,2960,2713
Caney City,237,226
Canton,3972,4015
Cantu Addition CDP,192,184
Canutillo CDP,6795,7055
Canyon,14559,16733
Canyon Creek CDP,997,1075
Canyon Lake CDP,25564,26673
Cape Royale CDP,575,610
Carbon,274,264
Carlsbad CDP,788,787
Carl's Corner,173,178
Carmine,263,258
Carrizo Hill CDP,660,618
Carrizo Springs,6038,5852
Carrollton,136261,141615
Carthage,7019,7004
Casa Blanca CDP,65,63
Casas CDP,44,56
Cashion Community,340,347
Castle Hills,4514,4508
Castroville,2907,3111
Catarina CDP,119,107
Cedar Hill,48354,51246
Cedar Park,67141,73766
Cedar Point CDP,730,621
Celeste,802,925
Celina,7478,12621
Center,5210,5345
Centerville,891,909
Central Gardens CDP,4273,4223
Cesar Chavez CDP,2151,2226
Chandler,3033,3118
Channelview CDP,43012,46013
Channing,366,337
Chaparrito CDP,110,106
Chapeno CDP,49,50
Charlotte,1829,1842
Chester,308,324
Chico,1099,1170
Childress,5895,6195
Chillicothe,645,652
Chilton CDP,917,940
China,1165,1215
China Grove,1287,1337
China Spring CDP,1399,1419
Chireno,385,387
Christine,410,435
Christoval CDP,575,565
Chula Vista CDP (Cameron),311,272
Chula Vista CDP (Maverick),3960,3931
Chula Vista CDP (Zavala),484,487
Cibolo,27290,31066
Cienegas Terrace CDP,3421,3776
Cinco Ranch CDP,21432,24854
Circle D-KC Estates CDP,2695,2737
Cisco,3802,3860
Citrus City CDP,2745,2848
Clarendon,1970,1844
Clarksville,3056,3015
Clarksville City,894,942
Claude,1211,1234
Clear Lake Shores,1188,1164
Cleburne,31541,32335
Cleveland,7997,8620
Clifton,3537,3562
Clint,1141,1211
Cloverleaf CDP,24082,24629
Clute,11405,12156
Clyde,3925,3992
Coahoma,875,887
Cockrell Hill,4425,4412
Coffee City,281,1465
Coldspring,901,975
Coleman,4486,4432
College Station,109474,116998
Colleyville,25779,27047
Collinsville,1676,1998
Colmesneil,579,611
Colorado Acres CDP,329,337
Colorado City,4118,3724
Columbus,3698,3715
Comanche,4331,4351
Combes,3019,3107
Combine,2121,2211
Comfort CDP,2701,2953
Commerce,8994,9786
Como,731,746
Concepcion CDP,58,62
Conroe,85163,86236
Converse,21275,29960
Cool,167,185
Coolidge,1005,997
Cooper,2033,1967
Coppell,40840,41790
Copperas Cove,33415,33203
Copper Canyon,1487,1505
Corinth,22778,22713
Corpus Christi,325080,326162
Corral City,29,28
Corrigan,1574,1691
Corsicana,24445,24764
Cottonwood,201,215
Cottonwood Shores,1185,1345
Cotulla,4186,4005
Country Acres CDP,189,182
Coupland,296,315
Cove,531,550
Covington,269,282
Coyanosa CDP,182,172
Coyote Acres CDP,536,595
Coyote Flats City,314,331
Crandall,2983,3477
Crane,3901,3586
Cranfills Gap,272,289
Crawford,746,754
Creedmoor,218,230
Cresson,794,945
Crockett,6657,6707
Crosby CDP,2840,2855
Crosbyton,1730,1594
Cross Mountain CDP,3569,3658
Cross Plains,1014,1015
Cross Roads,1899,1644
Cross Timber,273,324
Crowell,848,858
Crowley,14474,15639
Crystal City,7544,7270
Cuero,7477,7545
Cuevitas CDP,48,50
Cumby,812,813
Cumings CDP,1228,1352
Cuney,138,138
Cushing,630,611
Cut and Shoot,1105,1413
Daingerfield,2534,2364
Daisetta,994,1109
Dalhart,8304,8244
Dallas,1298196,1358066
Dalworthington Gardens,2361,2354
Damon CDP,587,627
Danbury,1842,1878
Darrouzett,382,352
Dawson,828,813
Dayton,7861,8907
Dayton Lakes,96,108
Dean,475,474
Decatur,6652,7013
DeCordova,2711,3043
Deer Park,34359,34590
De Kalb,1777,1712
De Leon,2206,2237
Dell City,358,378
Del Mar Heights CDP,117,99
Delmita CDP,220,227
Del Rio,35419,35852
Del Sol CDP,237,237
Denison,23019,25631
Denton,139329,140975
Denver City,5008,5297
Deport,582,562
DeSoto,53815,53506
Detroit,685,697
Devers,460,531
Devine,4771,4895
Deweyville CDP,1006,919
D'Hanis CDP,825,840
Diboll,5443,5378
Dickens,256,261
Dickinson,19835,21532
