county,population_county_2015,population_county_2018
Anderson County,59173,58854
Andrews County,18202,19232
Angelina County,90667,92353
Aransas County,25176,23031
Archer County,9067,9625
Armstrong County,1933,1949
Atascosa County,49266,50276
Austin County,30609,31724
Bailey County,7150,7256
Bandera County,21374,22874
Bastrop County,83800,88296
Baylor County,3518,3740
Bee County,32688,33039
Bell County,336383,356587
Bexar County,1913559,1991779
Blanco County,11305,11835
Borden County,682,666
Bosque County,18360,18882
Bowie County,97549,97488
Brazoria County,349500,383058
Brazos County,220371,228292
Brewster County,9168,9128
Briscoe County,1441,1535
Brooks County,7200,7242
Brown County,39103,39470
Burleson County,18415,18381
Burnet County,45955,48190
Caldwell County,40336,42956
Calhoun County,21397,21915
Callahan County,14167,14102
Cameron County,425194,425849
Camp County,12692,12843
Carson County,5930,6158
Cass County,31030,30892
Castro County,7697,7672
Chambers County,39676,43819
Cherokee County,52189,53375
Childress County,6881,7007
Clay County,10568,10428
Cochran County,3012,2931
Coke County,3195,3340
Coleman County,8541,8483
Collin County,944366,1018952
Collingsworth County,3013,2943
Colorado County,21866,21662
Comal County,133200,149993
Comanche County,13876,13915
Concho County,4208,2044
Cooke County,39460,40176
Coryell County,78137,74095
Cottle County,1422,1373
Crane County,5063,4696
Crockett County,3772,3428
Crosby County,6062,5769
Culberson County,2287,2154
Dallam County,7152,7310
Dallas County,2554632,2650320
Dawson County,13951,12544
Deaf Smith County,19737,19461
Delta County,5371,5254
Denton County,795854,861357
De Witt County,21221,20860
Dickens County,2226,2271
Dimmit County,11012,10020
Donley County,3538,3359
Duval County,11328,10949
Eastland County,18282,18416
Ector County,161393,165230
Edwards County,1896,1912
Ellis County,164386,182439
El Paso County,840597,855623
Erath County,41031,43366
Falls County,17220,17346
Fannin County,34168,35347
Fayette County,25802,25816
Fisher County,3842,3708
Floyd County,5869,5698
Foard County,1195,1205
Fort Bend County,732167,786213
Franklin County,10832,10748
Freestone County,20172,20472
Frio County,19041,19735
Gaines County,20112,21200
Galveston County,324474,339241
Garza County,6536,6360
Gillespie County,26303,27016
Glasscock County,1362,1448
Goliad County,7741,7869
Gonzales County,20275,20659
Gray County,23316,21657
Grayson County,125601,137479
Gregg County,126709,126215
Grimes County,27645,29190
Guadalupe County,154995,165452
Hale County,35620,33987
Hall County,3124,3095
Hamilton County,8449,8625
Hansford County,5599,5405
Hardeman County,3764,3761
Hardin County,57936,58370
Harris County,4573568,4714391
Harrison County,68636,68682
Hartley County,6162,5647
Haskell County,5678,5764
Hays County,199344,226853
Hemphill County,4208,3779
Henderson County,81179,82422
Hidalgo County,848037,890414
Hill County,35621,36532
Hockley County,23612,23232
Hood County,56799,61334
Hopkins County,36595,37163
Houston County,23131,23319
Howard County,37157,36004
Hudspeth County,3404,3655
Hunt County,90231,97442
Hutchinson County,21382,20591
Irion County,1636,1652
Jack County,9291,9229
Jackson County,14674,15302
Jasper County,34339,36746
Jeff Davis County,2244,2481
Jefferson County,250798,253046
Jim Hogg County,5177,5129
Jim Wells County,40004,41518
Johnson County,163213,173191
Jones County,19871,19704
Karnes County,15577,15304
Kaufman County,115487,128122
Kendall County,41161,47453
Kenedy County,410,412
Kent County,804,764
Kerr County,51589,52575
Kimble County,4641,4722
King County,296,254
Kinney County,3742,3711
Kleberg County,30607,32580
Knox County,3731,3393
Lamar County,51102,50279
Lamb County,13100,12696
