zip,population_zip_2015,population_zip_2018
1740,1676,1795
1741,1827,1915
1742,7478,7241
1745,160,210
1746,5084,5329
1747,2328,2318
1748,5698,6344
1749,7947,8037
1752,16560,17084
1754,4544,4605
1756,2058,2120
1757,11565,11625
1760,14295,14952
1770,1554,1637
1772,3377,3404
1773,2229,2243
1775,2591,2645
1776,6221,6498
1778,5435,5324
1801,15925,16885
1803,9858,10533
1810,12797,12952
1821,11377,11749
1824,10138,10011
1826,11301,11569
1827,1208,1151
1830,10847,10747
1832,9193,9435
1833,3231,3382
1834,2496,2445
1835,5506,5560
1840,2379,2354
1841,16198,15749
1843,9488,9141
1844,18230,18477
1845,11366,11830
1850,5923,5899
1851,10741,10723
1852,14572,14426
1854,10230,10287
1860,2582,2840
1862,3575,3663
1863,4039,3971
1864,5691,5684
1867,9342,9313
1876,11357,11767
1879,4327,4510
1880,10305,10974
1886,8339,8683
1887,7823,8138
1890,7918,8197
1901,829,968
1902,18239,18078
1904,6617,6362
1905,8860,8725
1906,10757,11006
1907,5645,5893
1908,1756,1702
1913,7577,7540
1915,16989,17513
1921,2732,2775
1922,979,1158
1923,10988,11205
1929,1627,1730
1930,14147,14962
1937,0,0
1938,5916,6169
1940,5105,5211
1944,2300,2303
1945,8773,8804
1949,2744,3115
1950,8090,8633
1951,2006,1971
1952,4533,4920
1960,22449,22441
1966,4203,4223
1969,2246,2333
1970,19278,19365
1982,2984,2946
1983,2320,2227
1984,1457,1397
14222,7569,7859
14223,10180,10362
14224,18391,18872
14225,16247,16232
14226,12768,13246
14227,11105,10870
14228,9409,10261
14261,7,6
14301,7564,7344
14302,39,56
14303,3603,3597
14304,13809,13881
14305,8289,8422
14411,5450,5646
14414,3013,3162
14415,64,98
14416,1471,1428
14418,905,838
14420,7781,7404
14422,982,948
14423,1974,1992
14424,13310,13669
14425,4665,5026
14427,1055,1007
14428,3386,3224
14432,2477,2458
14433,1797,1751
14435,1754,1709
14437,4533,4505
14441,230,214
14445,3676,3598
14450,17467,18018
14454,3692,3834
14456,8339,8329
14462,234,205
14464,3031,3007
14466,812,854
14467,4255,4140
14468,7194,7280
14469,2822,2767
14470,3483,3435
14471,2021,1956
14472,3582,3527
14475,88,141
14476,932,1049
14477,982,646
14478,755,633
14479,147,102
14480,388,366
14481,838,895
14482,3600,3583
14485,1933,1776
14486,138,157
14487,2498,2773
14489,3012,3100
14502,4114,4346
14504,833,829
14505,2191,2161
14506,483,543
14507,902,903
14510,2081,2074
14511,131,207
14512,2627,2706
14513,6306,6358
14514,2636,2794
14516,1096,1084
14517,1384,1360
14519,5064,5326
14521,1299,1259
14522,4287,4323
14525,992,1055
14526,8342,8589
14527,6743,7026
14529,66,38
14530,2724,2792
14532,1907,1843
14533,850,812
14534,12740,12388
14536,298,329
14537,61,51
14539,71,60
3049,3012,2995
3051,9194,9361
3052,2956,2983
3053,8635,9316
3054,9936,10246
3055,6374,6589
3057,969,923
3060,12854,12997
3062,11032,11664
3063,6931,7085
3064,6008,6176
3070,1961,1985
3071,2001,2092
3076,4638,4907
3077,4177,4346
3079,11733,12011
3082,694,724
3084,607,597
3086,1679,1857
3087,5315,5405
3101,1894,1794
3102,14333,14473
3103,15250,15237
3104,14457,14489
3106,5239,5241
3109,4311,4180
3110,7630,8129
3215,1178,1187
3216,1060,1120
3217,1472,1315
3218,429,365
3220,3559,3651
3221,1212,1191
3222,4266,4283
3223,2567,2510
3224,1064,1055
3225,2003,2029
3226,793,809
3227,703,648
3229,2334,2414
3230,736,719
3231,125,147
3233,79,84
3234,1910,2002
3235,4060,4346
3237,1336,1401
3238,52,69
3240,829,784
3241,825,782
3242,1996,2028
3243,530,478
3244,3975,4057
3245,1448,1537
3246,9870,10054
3249,5100,5195
3251,3035,3141
3253,4624,4878
3254,4993,4882
3255,1643,1697
3256,1198,1205
3257,2312,2359
3258,1065,1041
3259,274,301
3260,409,389
3261,2071,2213
3262,1237,1264
3263,1612,1827
3264,2672,2975
3266,1472,1403
3268,529,474
3269,1643,1629
3273,255,260
3275,4782,4735
3276,3584,3650
3278,1435,1467
3279,548,566
3280,1131,1164
3281,3816,3693
3282,513,553
3284,587,544
3285,1824,2038
7013,10915,10922
7014,1962,1996
7016,8742,9057
7017,17027,15581
7018,13503,12567
7020,6234,6328
7021,801,839
7022,5818,5690
7023,2609,2607
7024,18126,18538
7026,11707,12153
7027,1776,1835
7028,2529,2528
7029,6340,7005
7030,26464,27308
7031,6296,6435
7032,14708,14547
7033,2687,2989
7034,3745,3568
7035,4109,3797
7036,16351,16413
7039,10130,10446
7040,8741,8562
7041,2709,2761
7042,10833,11149
7043,4405,4291
7044,5728,5473
7045,3777,4132
7046,1394,1404
7047,23253,23468
7050,13015,13339
7052,17184,17451
7054,11776,11546
7055,21721,21574
7057,5006,5119
7058,2101,1971
7059,5153,5362
7060,15485,15663
7062,4511,4552
7063,4145,4314
7064,1263,1462
7065,12002,12120
7066,5730,5897
7067,6240,6305
7068,2483,2491
7069,2254,2226
7070,7207,7372
7071,8933,8936
7072,2468,2539
7073,3837,4129
7074,1077,1061
7075,3108,3309
7076,8713,9090
7077,1038,1007
7078,4150,4146
7079,5633,5600
7080,8255,8111
7081,7453,7336
7082,1771,1770
7083,20231,20231
7086,6431,7086
7087,25859,26759
7088,1346,1345
7090,10901,10897
7092,2472,2493
7093,25413,26003
7094,7359,7781
7095,7776,7729
7102,5395,5461
7103,12454,13310
7104,20469,20444
7105,17811,17871
7106,13280,13828
7107,14961,14998
7108,9880,10557
7109,13861,13653
7110,11664,11366
7111,23877,24600
7112,11629,12055
7114,4492,4348
7201,9184,9611
1985,1607,1659
2019,6467,6808
2021,9182,9308
2025,3332,3565
2026,9844,10430
2030,2020,2140
2032,1564,1717
2035,6632,6739
2038,11429,11928
2043,9030,9237
2045,5856,5921
2047,174,145
2048,8489,8826
2050,10926,11350
2052,4328,4362
2053,4704,4914
2054,3085,3158
2056,3295,3370
2061,3741,3841
2062,12069,12308
2066,7246,7640
